가뿐,가뿐하다,가뿐하네,가뿐해,가뿐하네요,가뿐해요,가뿐합니다,가뿐함
갈구,갈구하다,갈구하네,갈구해,갈구하네요,갈구해요,갈구합니다,갈구함
갈망,갈망하다,갈망하네,갈망해,갈망하네요,갈망해요,갈망합니다,갈망함
감개무량,감개무량하다,감개무량하네,감개무량해,감개무량하네요,감개무량해요,감개무량합니다,감개무량함
감격,감격하다,감격했네,감격했어,감격했네요,감격했어요,감격했습니다,감격함
감동,감동하다,감동했네,감동했어,감동했네요,감동했어요,감격했습니다,감동함
감미롭,감미롭다,감미롭네,감미로워,감미롭네요,감미로워요,감미롭습니다,감미로워함
감사,감사하다,감사하네,감사해,감사하네요,감사해요,감사합니다,감사함
감질나,감질나다,감질나네,감질나,감질나네요,감질나요,감질납니다,감질남
경쾌,경쾌하다,경쾌하네,경쾌해,경쾌하네요,경쾌해요,경쾌합니다,경쾌함
고맙,고맙다,고맙네,고마워,고맙네요,고마워요,고맙습니다,고마움
궁금,궁금하다,궁금하네,궁금해,궁금하네요,궁금해요,궁금합니다,궁금함
근사,근사하다,근사하네,근사해,근사하네요,근사해요,근사합니다,근사함
기분좋,기분좋다,기분좋네,기분좋아,기분좋네요,기분좋아요,기분좋습니다,기분좋음
기쁘,기쁘다,기쁘네,기뻐,기쁘네요,기뻐요,기쁩니다,기쁨
낭만적,낭만적,낭만적이네,낭만적이야,낭만적이네요,낭만적이에요,낭만적입니다,낭만적임
달갑,달갑다,달갑네,달가워,달갑네요,달가워요,달갑습니다,달가움
대견,대견하다,대견하네,대견해,대견하네요,대견해요,대견합니다,대견함
두근거리,두근거리다,두근거리네,두근거려,두근거리네요,두근거려요,두근거립니다,두근거림
따뜻,따뜻하다,따뜻하네,따뜻해,따뜻하네요,따뜻해요,따뜻합니다,따뜻함
따스,따스하다,따스하네,따스해,따스하네요,따스해요,따스합니다,따스함
만족,만족하다,만족스럽네,만족해,만족하네요,만족해요,만족합니다,만족함
반갑,반갑다,반갑네,반가워,반갑네요,반가워요,반갑습니다,반가움
보기좋,보기좋다,보기좋네,보기좋아,보기좋네요,보기좋아요,보기좋습니다,보기좋음
부러워,부러워하다,부러워하네,부러워해,부러워하네요,부러워해요,부러워합니다,부러워함
뿌듯,뿌듯하다,뿌듯하네,뿌듯해,뿌듯하네요,뿌듯해요,뿌듯합니다,뿌듯함
사랑스럽,사랑스럽다,사랑스럽네,사랑스러워,사랑스럽네요,사랑스러워요,사랑스럽습니다,사랑스러움
상쾌,상쾌하다,상쾌하네,상쾌해,상쾌하네요,상쾌해요,상쾌합니다,상쾌함
상큼,상큼하다,상큼하네,상큼해,상큼하네요,상큼해요,상큼합니다,상큼함
설레,설레다,설레네,설레,설레네요,설레요,설렙니다,설렘
섹시,섹시하다,섹시하네,섹시해,섹시하네요,섹시해요,섹시합니다,섹시함
속시원,속시원하다,속시원하네,속시원해,속시원하네요,속시원해요,속시원합니다,속시원함
신나,신나다,신나네,신나,신나네요,신나요,신납니다,신남
신명나,신명나다,신명나네,신명나,신명나네요,신명나요,신명납니다,신명남
신바람나,신바람나다,신바람나네,신바람나,신바람나네요,신바람나요,신바람납니다,신바람남
신비롭,신비롭다,신비롭네,신비로워,신비롭네요,신비로워요,신비롭습니다,신비로움
싱글벙글,싱글벙글하다,싱글벙글하네,싱글벙글해,싱글벙글하네요,싱글벙글해요,싱글벙글합니다,싱글벙글함
아리송,아리송하다,아리송하네,아리송해,아리송하네요,아리송해요,아리송합니다,아리송함
알쏭달쏭,알쏭달쏭하다,알쏭달쏭하네,알쏭달쏭해,알쏭달쏭하네요,알쏭달쏭해요,알쏭달쏭합니다,알쏭달쏭함
어여쁘,어여쁘다,어여쁘네,어여쁘다,어여쁘네요,어여뻐요,어여쁩니다,어여쁨
예쁘,예쁘다,예쁘네,예뻐요,예쁘네요,예뻐요,예쁘다,예쁨
우아,우아하다,우아하네,우아해,우아하네요,우아해요,우아합니다,우아함
웃,웃다,웃네,웃어,웃네요,웃어요,웃습니다,웃함
웃어넘기,웃어넘기다,웃어넘기네,웃어넘겨,웃어넘기네요,웃어넘겨요,웃어넘깁니다,웃어넘기함
유쾌,유쾌하다,유쾌하네,유쾌해,유쾌하네요,유쾌해요,유쾌합니다,유쾌함
자부,자부하다,자부하네,자부해,자부하네요,자부해요,자부합니다,자부함
재미있,재미있다,재미있네,재미있어,재미있네요,재미있어요,재미있습니다,재미있음
조심스럽,조심스럽다,조심스럽네,조심스러워,조심스럽네요,조심스러워요,조심스럽습니다,조심스러움
좋,좋다,좋네,좋아,좋네요,좋아요,좋습니다,좋음
즐겁,즐겁다,즐겁네,즐거워,즐겁네요,즐거워요,즐겁습니다,즐거움
천만다행,천만다행이다,천만다행이네,천만다행이야,천만다행이네요,천만다행이에요,천만다행입니다,천만다행
친근,친근하다,친근하네,친근해,친근하네요,친근해요,친근합니다,친근함
친숙,친숙하다,친숙하네,친숙해,친숙하네요,친숙해요,친숙합니다,친숙함
콩닥거리,콩닥거리다,콩닥거리네,콩닥거려,콩닥거리네요,콩닥거려요,콩닥거리습니다,콩닥거리함
쾌적,쾌적하다,쾌적하네,쾌적해,쾌적하네요,쾌적해요,쾌적합니다,쾌적함
탐나,탐나다,탐나하네,탐나해,탐나하네요,탐나해요,탐나합니다,탐나함
통쾌,통쾌하다,통쾌하네,통쾌해,통쾌하네요,통쾌해요,통쾌합니다,통쾌함
편안,편안하다,편안하네,편안해,편안하네요,편안해요,편안합니다,편안함
행복,행복하다,행복하네,행복해,행복하네요,행복해요,행복합니다,행복함
후련,후련하다,후련하네,후련해,후련하네요,후련해요,후련합니다,후련함
훌륭,훌륭하다,훌륭하네,훌륭해,훌륭하네요,훌륭해요,훌륭합니다,훌륭함
흐뭇,흐뭇하다,흐뭇하네,흐뭇해,흐뭇하네요,흐뭇해요,흐뭇합니다,흐뭇함
흡족,흡족하다,흡족하네,흡족해,흡족하네요,흡족해요,흡족합니다,흡족함
흥겹,흥겹다,흥겹네,흥겨워,흥겹네요,흥겨워요,흥겹습니다,흥겹함
흥미롭,흥미롭다,흥미롭네,흥미로워,흥미롭네요,흥미로워요,흥미롭습니다,흥미로워함
희희낙락,희희낙락하다,희희낙락하네,희희낙락해,희희낙락하네요,희희낙락해요,희희낙락합니다,희희낙락함
이쁘,이쁘다,이쁘네,이뻐,이쁘네요,이뻐요,이쁩니다,이쁨
