가슴아프,가슴아프다,가슴아프네,가슴아파,가슴아프네요,가슴아파요,가슴아픕니다,가슴아픔
가슴앓이,가슴앓이,가슴앓이하네,가슴앓이해,가슴앓이하네요,가슴앓이해요,가슴앓이합니다,가슴앓이
각박,각박하다,각박하네,각박해,각박하네요,각박해요,각박합니다,각박함
간절,간절하다,간절하네,간절해,간절하네요,간절해요,간절합니다,간절함
걱정,걱정하다,걱정하네,걱정해,걱정하네요,걱정해요,걱정합니다,걱정함
고달프,고달프다,고달프네,고달파,고달프네요,고달파요,고달픕니다,고달픔
고독,고독하다,고독하네,고독해,고독하네요,고독해요,고독합니다,고독함
곤욕스럽,곤욕스럽다,곤욕스럽네,곤욕스러워,곤욕스럽네요,곤욕스러워요,곤욕스럽습니다,곤욕스러움
공허,공허하다,공허하네,공허해,공허하네요,공허해요,공허합니다,공허함
괴롭,괴롭다,괴롭네,괴로워,괴롭네요,괴로워요,괴롭습니다,괴로움
그리워,그리워하다,그리워하네,그리워해,그리워하네요,그리워해요,그리워합니다,그리워함
근심스럽,근심스럽다,근심스럽네,근심스러워,근심스럽네요,근심스러워요,근심스럽습니다,근심스러움
글썽글썽,글썽글썽하다,글썽글썽하네,글썽글썽해,글썽글썽하네요,글썽글썽해요,글썽글썽합니다,글썽글썽함
기구,기구하다,기구하네,기구해,기구하네요,기구해요,기구합니다,기구함
기운없,기운없다,기운없네,기운없어,기운없네요,기운없어요,기운없습니다,기운없음
낙담,낙담하다,낙담하네,낙담해,낙담하네요,낙담해요,낙담합니다,낙담함
낙심,낙심하다,낙심하네,낙심해,낙심하네요,낙심해요,낙심합니다,낙심함
난처,난처하다,난처하네,난처해,난처하네요,난처해요,난처합니다,난처함
낭패스럽,낭패스럽다,낭패스럽네,낭패스러워,낭패스럽네요,낭패스러워요,낭패스럽습니다,낭패스러움
막막,막막하다,막막하네,막막해,막막하네요,막막해요,막막합니다,막막함
망연자실,망연자실하다,망연자실하네,망연자실해,망연자실하네요,망연자실해요,망연자실합니다,망연자실함
먹먹,먹먹하다,먹먹하네,먹먹해,먹먹하네요,먹먹해요,먹먹합니다,먹먹함
미안,미안하다,미안하네,미안해,미안하네요,미안해요,미안합니다,미안함
