question,label
제주 감귤 패션 프룻 주스 나눔합니다,O O O O O S-COMMENT
핫 앤 스파이시 멕시칸 오리지널 나눔합니다,O O O O O S-COMMENT
핫 앤 스파이시 멕시칸 골드링 나눔합니다,O O O O O S-COMMENT
핫 앤 스파이시 멕시칸 치즈롤 나눔합니다,O O O O O S-COMMENT
핫 앤 스파이시 멕시칸 씬 나눔합니다,O O O O O S-COMMENT
스파이시 치킨 랜치 골드링 씬 나눔합니다,O O O O O S-COMMENT
핫 치킨 바베큐 골드링 씬 나눔합니다,O O O O O S-COMMENT
치킨 수퍼 파파스 골드링 씬 나눔합니다,O O O O O S-COMMENT
갈릭 페퍼 스테이크 골드링 씬 나눔합니다,O O O O O S-COMMENT
모짜렐라 인 더 버거 베이컨 나눔합니다,O O O O O S-COMMENT
모짜렐라 인 더 버거 더블 나눔합니다,O O O O O S-COMMENT
모짜렐라 인 더 버거 해쉬 나눔합니다,O O O O O S-COMMENT
아이스 초코파이 마시멜로 앤 초콜릿 나눔합니다,O O O O O S-COMMENT
아이스 단호박 라떼 위드 샷 나눔합니다,O O O O O S-COMMENT
패션 탱고 티 레모네이드 피지오 나눔합니다,O O O O O S-COMMENT
아이스 제주 노랑 고구마 라떼 나눔합니다,O O O O O S-COMMENT
에그 베이컨 치즈 백년초 베이글 나눔합니다,O O O O O S-COMMENT
제주 녹차 베이컨 치즈 베이글 나눔합니다,O O O O O S-COMMENT
제주 흑돼지 초리조 먹물 샌드위치 나눔합니다,O O O O O S-COMMENT
로고 코인 다크 초콜릿 골드 나눔합니다,O O O O O S-COMMENT
로고 코인 밀크 초콜릿 실버 나눔합니다,O O O O O S-COMMENT
자바 칩 유기농 바닐라 아이스크림 나눔합니다,O O O O O S-COMMENT
자바 칩 유기농 초콜릿 아이스크림 나눔합니다,O O O O O S-COMMENT
퓨어 더블 초코렛 아이스 블렌디드 나눔합니다,O O O O O S-COMMENT
아이스 맑은 유자 플럼 티 나눔합니다,O O O O O S-COMMENT
아이스 맑은 배 도라지 티 나눔합니다,O O O O O S-COMMENT
단백질 듬뿍 로스트 치킨 샐러드 나눔합니다,O O O O O S-COMMENT
그릴 더 쏘앤윙 소세지 윙 나눔합니다,O O O O O S-COMMENT
블랙 포레스트햄 앤 에그 치즈 나눔합니다,O O O O O S-COMMENT
팥과 크림이 꽉찬 크리미 단팥 나눔합니다,O O O O O S-COMMENT
리코타 앤 상큼 과일 샐러드 나눔합니다,O O O O O S-COMMENT
제주 감귤 패션 프룻 주스 드실분,O O O O O S-COMMENT
핫 앤 스파이시 멕시칸 오리지널 드실분,O O O O O S-COMMENT
핫 앤 스파이시 멕시칸 골드링 드실분,O O O O O S-COMMENT
핫 앤 스파이시 멕시칸 치즈롤 드실분,O O O O O S-COMMENT
핫 앤 스파이시 멕시칸 씬 드실분,O O O O O S-COMMENT
스파이시 치킨 랜치 골드링 씬 드실분,O O O O O S-COMMENT
핫 치킨 바베큐 골드링 씬 드실분,O O O O O S-COMMENT
치킨 수퍼 파파스 골드링 씬 드실분,O O O O O S-COMMENT
갈릭 페퍼 스테이크 골드링 씬 드실분,O O O O O S-COMMENT
모짜렐라 인 더 버거 베이컨 드실분,O O O O O S-COMMENT
모짜렐라 인 더 버거 더블 드실분,O O O O O S-COMMENT
모짜렐라 인 더 버거 해쉬 드실분,O O O O O S-COMMENT
아이스 초코파이 마시멜로 앤 초콜릿 드실분,O O O O O S-COMMENT
아이스 단호박 라떼 위드 샷 드실분,O O O O O S-COMMENT
패션 탱고 티 레모네이드 피지오 드실분,O O O O O S-COMMENT
아이스 제주 노랑 고구마 라떼 드실분,O O O O O S-COMMENT
에그 베이컨 치즈 백년초 베이글 드실분,O O O O O S-COMMENT
제주 녹차 베이컨 치즈 베이글 드실분,O O O O O S-COMMENT
제주 흑돼지 초리조 먹물 샌드위치 드실분,O O O O O S-COMMENT
로고 코인 다크 초콜릿 골드 드실분,O O O O O S-COMMENT
로고 코인 밀크 초콜릿 실버 드실분,O O O O O S-COMMENT
자바 칩 유기농 바닐라 아이스크림 드실분,O O O O O S-COMMENT
자바 칩 유기농 초콜릿 아이스크림 드실분,O O O O O S-COMMENT
퓨어 더블 초코렛 아이스 블렌디드 드실분,O O O O O S-COMMENT
아이스 맑은 유자 플럼 티 드실분,O O O O O S-COMMENT
아이스 맑은 배 도라지 티 드실분,O O O O O S-COMMENT
단백질 듬뿍 로스트 치킨 샐러드 드실분,O O O O O S-COMMENT
그릴 더 쏘앤윙 소세지 윙 드실분,O O O O O S-COMMENT
블랙 포레스트햄 앤 에그 치즈 드실분,O O O O O S-COMMENT
팥과 크림이 꽉찬 크리미 단팥 드실분,O O O O O S-COMMENT
리코타 앤 상큼 과일 샐러드 드실분,O O O O O S-COMMENT
아이스 민트 초콜릿 라떼 드실분,O O O O S-COMMENT
쿠키 앤 크림 샌디 드실분,O O O O S-COMMENT
피넛 버터 초코 라떼 드실분,O O O O S-COMMENT
피넛 버터 카페 라떼 드실분,O O O O S-COMMENT
피넛 버터 초코 프라페 드실분,O O O O S-COMMENT
피넛 버터 카페 프라페 드실분,O O O O S-COMMENT
