FOODNAME,good,sad,tired,stress
꿩구이,1,1,1,0
닭갈비,1,1,1,0
닭꼬치,1,1,1,0
더덕구이,0,0,0,0
도미구이,0,1,0,0
돼지갈비,1,1,1,0
병어구이,0,1,0,0
불고기,1,1,1,0
붕장어소금구이,0,1,1,0
소양념갈비구이,1,1,1,0
양념왕갈비,1,1,1,0
양념장어구이,0,1,1,0
임연수구이,0,1,0,0
짚불구이곰장어,0,1,1,0
햄버그스테이크,1,1,1,0
황태구이,0,1,0,0
훈제오리,1,1,1,0
게국지,0,0,0,0
곰치국,0,1,1,0
굴국밥,0,1,0,0
김치국,0,0,0,0
떡만둣국,0,0,1,0
만둣국,0,0,1,0
맑은감자국,0,0,0,0
매생이국,0,1,0,0
무된장국,0,0,0,0
미소된장국,0,0,0,0
바지락조개국,0,1,0,0
뼈다귀해장국,1,0,1,0
선지해장국,1,0,1,0
소고기무국,1,0,1,0
소고기미역국,1,0,1,0
순대국,1,0,1,0
시래기된장국,0,0,0,0
올갱이국,0,1,0,0
우거지해장국,0,0,0,0
우렁된장국,0,1,0,0
탕국,0,1,0,0
홍합미역국,0,1,0,0
황태해장국,0,1,0,0
고추잡채,0,0,1,0
난자완스,1,0,1,0
도토리묵말이,0,0,0,0
라조기,1,0,1,0
물회,0,1,1,0
생선물회,0,1,1,0
소고기샤브샤브,1,0,1,0
오징어순대,0,1,1,0
초당순두부,0,0,0,0
해파리냉채,0,1,1,0
고들빼기,0,0,0,0
열무얼갈이김치,0,0,0,0
미나리나물,0,0,0,0
취나물,0,0,0,0
경단 깨,0,0,0,0
경단 콩,0,0,0,0
기피편,0,0,0,0
녹두시루떡,0,0,0,0
메밀전병,0,0,0,0
무지개떡,0,0,0,0
송편 깨,0,0,0,0
송편 콩,0,0,0,0
수수부꾸미,0,0,0,0
수수팥떡,0,0,0,0
시루떡,0,0,0,0
쑥떡,0,0,0,0
절편,0,0,0,0
찹쌀떡,0,0,0,0
간자장,0,0,1,0
굴짬뽕,0,0,1,0
기스면,0,0,1,0
김치라면,0,0,1,0
김치우동,0,0,1,0
냉김치말이국수,0,0,1,0
닭칼국수,0,0,1,0
들깨칼국수,0,0,1,0
막국수,0,0,1,0
삼선우동,0,0,1,0
삼선자장면,0,0,1,0
삼선짬뽕,0,0,1,0
쌀국수,0,0,1,0
열무김치국수,0,0,1,0
열무냉면,0,0,1,0
오일소스스파게티,0,0,0,0
올갱이국수,0,0,1,0
우동 일식,0,0,1,0
우동 중식,0,0,1,0
울면,0,0,1,0
자장면,0,0,1,0
짬뽕라면,0,0,1,0
치즈라면,0,0,1,0
크림소스스파게티,0,0,0,0
토마토소스스파게티,0,0,0,0
해물칼국수,0,0,1,0
해물크림소스스파게티,0,0,0,0
해물토마토소스스파게티,0,0,0,0
골뱅이무침,0,1,0,0
노각무침,0,0,0,0
단무지무침,0,0,0,0
달래나물무침,0,0,0,0
더덕무침,0,0,0,0
밴댕이무침,0,1,0,0
서대회무침,0,1,1,0
쑥갓나물무침,0,0,0,0
우거지나물무침,0,0,0,0
쥐치채,0,1,0,0
