갑갑,갑갑하다,갑갑하네,갑갑해,갑갑하네요,갑갑해요,갑갑합니다,갑갑함
고리타분,고리타분하다,고리타분하네,고리타분해,고리타분하네요,고리타분해요,고리타분합니다,고리타분함
귀찮,귀찮다,귀찮네,귀찮아,귀찮네요,귀찮아요,귀찮습니다,귀찮음
답답,답답하다,답답하네,답답해,답답하네요,답답해요,답답합니다,답답함
따분,따분하다,따분하네,따분해,따분하네요,따분해요,따분합니다,따분함
무료,무료하다,무료하네,무료해,무료하네요,무료해요,무료합니다,무료함
서먹,서먹하다,서먹하네,서먹해,서먹하네요,서먹해요,서먹합니다,서먹함
신통찮,신통찮다,신통찮네,신통찮아,신통찮네요,신통찮아요,신통찮습니다,신통찮음
싫증나,싫증나다,싫증나네,싫증나,싫증나네요,싫증나요,싫증납니다,싫증남
심드렁,심드렁하다,심드렁하네,심드렁해,심드렁하네요,심드렁해요,심드렁합니다,심드렁함
심심,심심하다,심심하네,심심해,심심하네요,심심해요,심심합니다,심심함
어색,어색하다,어색하네,어색해,어색하네요,어색해요,어색합니다,어색함
재미없,재미없다,재미없네,재미없어,재미없네요,재미없어요,재미없습니다,재미없음
지겹,지겹다,지겹네,지겨워,지겹네요,지겨워요,지겹습니다,지겨움
지긋지긋,지긋지긋하다,지긋지긋하네,지긋지긋해,지긋지긋하네요,지긋지긋해요,지긋지긋합니다,지긋지긋함
지루,지루하다,지루하네,지루해,지루하네요,지루해요,지루합니다,지루함
집 가고 싶,집 가고 싶다,집 가고 싶네,집 가고 싶어,집 가고 싶네요,집 가고 싶어요,집 가고 싶습니다,집 가고 싶음
골치아프,골치아프다,골치아프네,골치 아파,골치아프네요,골치아파요,골치아픕니다,골치아픔
기진맥진,기진맥진하다,기진맥진하네,기진맥진해,기진맥진하네요,기진맥진해요,기진맥진합니다,기진맥진함
아프,아프다,아프네,아파,아프네요,아파요,아픕니다,아픔
지끈거리,지끈거리다,지끈거리네,지끈거려,지끈거리네요,지끈거려요,지끈거립니다,지끈거림
피곤,피곤하다,피곤하네,피곤해,피곤하네요,피곤해요,피곤합니다,피곤함
잠온,잠온다,잠오네,잠와,잠오네요,잠와요,잠옵니다,잠옴
졸리,졸리다,졸리네,졸려,졸리네요,졸려요,졸립니다,졸림
싫,싫다,싫네,싫어,싫네요,싫어요,싫습니다,싫음
속이 안 좋,속이 안 좋다,속이 안좋네,속이 안 좋아,속이 안 좋네요,속이 안 좋아요,속이 안 좋습니다,속이 안 좋음
꽝이,꽝이다,꽝이네,꽝이야,꽝이네요,꽝이에요,꽝입니다,꽝임
메롱이,메롱이다,메롱이네,메롱이야,메롱이네요,메롱이에요,메롱입니다,메롱임
스트레스,스트레스,스트레스받네,스트레스받아,스트레스 받네요,스트레스 받아요,스트레스 받습니다,스트레스 받음
별로,별로,별로네,별로야,별로네요,별로에요,별로입니다,별로임
기분나쁘,기분나쁘다,기분나쁘네,기분나빠,기분나쁘네요,기분나빠요,기분나쁩니다,기분 나쁨
힘들,힘들다,힘드네,힘들어,힘드네요,힘들어요,힘듭니다,힘듦
야근,야근하다,야근이네,야근이야,야근하네요,야근이에요,야근입니다,야근임
잠이안온,잠이안온다,잠이안오네,잠이안와,잠이안오네요,잠이안와요,잠이안옵니다,잠이 안옴
무기력,무기력하다,무기력하네,무기력해,무기력하네요,무기력해요,무기력합니다,무기력함
수면부족,수면부족,수면부족이네,수면부족이야,수면부족이네요,수면부족이에요,수면부족입니다,수면부족임
정신줄 놓,정신줄 놓다,정신줄 놓았네,정신줄 놓았어,정신줄 놓았네요,정신줄 놓았어요,정신줄 놓았습니다,정신줄 놓음
망,망하다,망했네,망했어,망했네요,망했어요,망했습니다,망함
